beta,gamma,rho,distance,infected_peak,infected_time_of_peak,infected_auc,infected_extinction_time,rewiring_peak,rewiring_time_of_peak,rewiring_auc,rewiring_zero_fraction
0.1600612376437012,0.0851013479527062,0.3100346443660737,0.1383622531166883,0.6615,8.225,10.7,65.975,100.975,5.3,530.025,0.9406716417910448
0.1665930155356121,0.0864398840497799,0.2991046546015767,0.1462363583961093,0.648875,8.4,10.501749999999998,71.45,96.375,5.3,501.3,0.9398009950248756
0.1707797803644503,0.0870000784848597,0.3087062248840418,0.1629656101449965,0.653625,8.225,10.492625,71.0,98.95,5.1,511.175,0.9398009950248756
0.1679407154163709,0.0870328471315596,0.3178829729040686,0.1768659789377693,0.661125,8.4,10.41025,64.775,105.025,5.425,538.1,0.9407960199004975
0.1648432671657371,0.0911796710163229,0.2952395225405572,0.1862077835432136,0.6441250000000001,8.35,9.910875,69.025,94.225,5.25,490.825,0.9398009950248756
0.1775996016773633,0.09346565808334,0.3209457225525243,0.1904385650213615,0.634375,8.2,9.358499999999998,63.625,102.45,5.25,521.35,0.9379353233830844
0.1606582603327991,0.0851645065407466,0.2909163400097592,0.2043839979824132,0.653,8.75,10.605749999999995,67.9,94.275,5.475,498.025,0.9395522388059702
0.1654679017178029,0.0815041308088605,0.3018112846022211,0.2076127835310837,0.673125,8.275,11.213125,69.35,102.925,5.375,504.725,0.9411691542288558
0.1687027672141352,0.0894765033201255,0.3288102145493727,0.2262837072136166,0.655,8.125,10.114249999999998,67.825,106.25,5.05,546.225,0.940174129353234
0.1593010590682107,0.0798033136225788,0.3077567221575699,0.2316833146606359,0.663,8.5,11.567125,73.8,102.175,5.45,541.85,0.9384328358208954
0.1742816532664015,0.0860240950438397,0.3264965610423322,0.2424717274286768,0.6665,8.15,10.68375,66.3,104.375,5.125,532.775,0.9436567164179106
0.1594422976261488,0.0822355711761826,0.3182793952612958,0.2455384500919979,0.662375,8.575,11.1095,71.575,104.2,5.125,550.325,0.9411691542288558
0.1675115830302496,0.0899613993934448,0.2935301675161154,0.2495974392680529,0.6515,8.225,10.2155,66.625,94.65,4.975,493.45,0.93818407960199
0.1574812339932508,0.0852616946982213,0.2773078472420278,0.2513361513969339,0.659375,8.55,10.774124999999998,69.025,91.325,5.3,485.775,0.9379353233830844
0.1580770528054442,0.0897232422370196,0.2987232184084631,0.255787973878547,0.6202500000000001,8.75,10.064374999999998,64.075,95.95,5.475,534.925,0.9342039800995025
0.1733099086860554,0.0920031496494377,0.3016877507685827,0.2606133474083556,0.64825,8.125,9.87475,63.7,96.625,5.075,490.75,0.9416666666666668
0.1668709329203874,0.0827727636541957,0.2871774253497077,0.2614458699580137,0.6713749999999999,8.225,11.02,70.925,98.075,5.325,476.225,0.9409203980099502
0.1613786629715814,0.0868136864228065,0.3356040508489872,0.2699985976527991,0.638875,8.6,10.252624999999998,68.45,104.575,5.475,584.45,0.9371890547263682
0.1704928966234204,0.0889063639680234,0.3327428985486998,0.2766041793665654,0.658875,8.2,10.295125,70.8,109.175,5.15,551.55,0.9432835820895524
0.1506928495768763,0.0861730477957896,0.2918390044329689,0.2770378473801542,0.632125,8.875,10.506249999999998,70.6,93.375,5.6,521.625,0.933457711442786
0.1796771878179734,0.0932107316792214,0.3434065366557681,0.2776319402176614,0.641625,7.825,9.446749999999998,64.325,106.25,5.1,539.55,0.9406716417910448
0.1574507135223855,0.0981188214784772,0.2949721784760912,0.2780920348314345,0.61525,8.5,9.188,63.8,93.625,5.4,512.1,0.9345771144278606
0.1677972978392727,0.0866243064796442,0.3089239331558426,0.2806594221729933,0.6677500000000001,8.15,10.623,69.075,103.125,4.975,510.775,0.9442786069651742
0.1623033020794738,0.0947385221581695,0.3076263886519393,0.2840100876062668,0.622875,8.825,9.701624999999998,64.125,96.425,5.775,539.475,0.9370646766169154
