step,beta,gamma,rho,log_synthetic_likelihood,accepted_move,chain_id
1,0.1603459326300294,0.080435715805744,0.3037585642103997,-7.901630197310107,0,0
2,0.15643638686759204,0.07750788008195927,0.3142848408726968,-8.388276936408769,1,0
3,0.16607570320092602,0.08233870404117521,0.31206314957585346,-7.719403234553396,1,0
4,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,1,0
5,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
6,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
7,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
8,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
9,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
10,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
11,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
12,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
13,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
14,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
15,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
16,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
17,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
18,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
19,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
20,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
21,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
22,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
23,0.16822983826191423,0.07657576490947934,0.2980753540821387,-8.71756149826753,0,0
24,0.18090992337087433,0.07322778228487413,0.3464550132489348,-9.788989041968057,1,0
25,0.18090992337087433,0.07322778228487413,0.3464550132489348,-9.788989041968057,0,0
26,0.15028054511596312,0.07430475041151155,0.3252637281150033,-9.94970896263331,1,0
27,0.15028054511596312,0.07430475041151155,0.3252637281150033,-9.94970896263331,0,0
28,0.15028054511596312,0.07430475041151155,0.3252637281150033,-9.94970896263331,0,0
29,0.15028054511596312,0.07430475041151155,0.3252637281150033,-9.94970896263331,0,0
30,0.15028054511596312,0.07430475041151155,0.3252637281150033,-9.94970896263331,0,0
31,0.15028054511596312,0.07430475041151155,0.3252637281150033,-9.94970896263331,0,0
32,0.15028054511596312,0.07430475041151155,0.3252637281150033,-9.94970896263331,0,0
33,0.15028054511596312,0.07430475041151155,0.3252637281150033,-9.94970896263331,0,0
34,0.15766255093232512,0.0740279624861001,0.3318959944030375,-9.810865641935166,1,0
35,0.15766255093232512,0.0740279624861001,0.3318959944030375,-9.810865641935166,0,0
36,0.15766255093232512,0.0740279624861001,0.3318959944030375,-9.810865641935166,0,0
37,0.15766255093232512,0.0740279624861001,0.3318959944030375,-9.810865641935166,0,0
38,0.15766255093232512,0.0740279624861001,0.3318959944030375,-9.810865641935166,0,0
39,0.16240938300818536,0.07938672141297705,0.3084854463800166,-7.9375507073746485,1,0
40,0.16240938300818536,0.07938672141297705,0.3084854463800166,-7.9375507073746485,0,0
41,0.16240938300818536,0.07938672141297705,0.3084854463800166,-7.9375507073746485,0,0
42,0.16240938300818536,0.07938672141297705,0.3084854463800166,-7.9375507073746485,0,0
43,0.16240938300818536,0.07938672141297705,0.3084854463800166,-7.9375507073746485,0,0
44,0.17282553907376083,0.08188050680149812,0.31555142614912957,-8.094693852691604,1,0
