step,beta,gamma,rho,log_synthetic_likelihood,accepted_move,chain_id
1001,0.14053868975932646,0.07595312941383833,0.2969175201856279,-8.612086010036592,0,0
1006,0.15214144833382334,0.08775019657354824,0.2910518508104925,-8.71904830711199,1,0
1011,0.13495975798765186,0.07900145053655991,0.2712059594864428,-8.39883008808988,0,0
1016,0.13495975798765186,0.07900145053655991,0.2712059594864428,-8.39883008808988,0,0
1021,0.14157968668800305,0.07889590093440783,0.2786426212564367,-8.552476394605648,1,0
1026,0.15082332086117847,0.08434253515562029,0.29286781645984383,-7.952281428193706,0,0
1031,0.15979105615376615,0.0817194190414492,0.3061651586907029,-7.789855805412024,0,0
1036,0.15979105615376615,0.0817194190414492,0.3061651586907029,-7.789855805412024,0,0
1041,0.15979105615376615,0.0817194190414492,0.3061651586907029,-7.789855805412024,0,0
1046,0.15979105615376615,0.0817194190414492,0.3061651586907029,-7.789855805412024,0,0
1051,0.15979105615376615,0.0817194190414492,0.3061651586907029,-7.789855805412024,0,0
1056,0.1577745548689888,0.08147484262423955,0.3320883138578285,-9.032849075829777,0,0
1061,0.16791390696511346,0.07413384922391193,0.3131903381791425,-8.162453136583519,1,0
1066,0.14412441552741193,0.07289220038192427,0.2986708877989732,-9.689059853934314,1,0
1071,0.14326882237604163,0.07105345233761311,0.2831331088843336,-10.022662116971883,0,0
1076,0.14661477684617624,0.08459387919169957,0.30758002816600233,-8.180527507554327,0,0
1081,0.14661477684617624,0.08459387919169957,0.30758002816600233,-8.180527507554327,0,0
1086,0.14059477539854554,0.08226549957375799,0.28275056408431914,-8.38367292681049,0,0
1091,0.14059477539854554,0.08226549957375799,0.28275056408431914,-8.38367292681049,0,0
1096,0.14059477539854554,0.08226549957375799,0.28275056408431914,-8.38367292681049,0,0
1101,0.14908021745567965,0.07548018480158873,0.31288110393998864,-8.319291642822066,0,0
1106,0.1664872739942028,0.07715772720180483,0.33749134988272556,-8.861148566103468,1,0
1111,0.1699132630055236,0.08004042777221462,0.32727389974635734,-7.984677928588088,0,0
1116,0.1994071008035472,0.08757118653237325,0.34966054752468756,-9.713196633908028,1,0
1121,0.18271867359553096,0.08866647894237682,0.3500461102651292,-9.456033381967684,0,0
1126,0.17402894523275436,0.08034794953922463,0.33720957121314454,-8.24166155514139,0,0
1131,0.17402894523275436,0.08034794953922463,0.33720957121314454,-8.24166155514139,0,0
1136,0.18311226523472235,0.08320253167974041,0.32701272061638714,-8.624314307421786,0,0
1141,0.16574611680742998,0.07849156630053986,0.3142930830760701,-7.608425403593579,0,0
1146,0.16574611680742998,0.07849156630053986,0.3142930830760701,-7.608425403593579,0,0
1151,0.16574611680742998,0.07849156630053986,0.3142930830760701,-7.608425403593579,0,0
1156,0.16574611680742998,0.07849156630053986,0.3142930830760701,-7.608425403593579,0,0
